Priority,Sub_System,Total Of SumOfInch_dia,DONE,REMAIN,0-Not Yet Activity,1-Line Check,2-HYDROTEST,3-FL/DRY,4-Face_Cleaning,5-Reinstatement
A-0,4000-01,20,16,4,1,,,,,3
A-0,4000-07,10,10,0,,,,,,
A-0,4000-11,11,10,1,1,,,,,
A-0,5000-01,71,51,20,3,,,2,,15
A-0,5000-02,46,28,18,,,,1,,17
A-0,5000-03,46,37,9,,,,,,9
A-1,1000-02,12,9,3,,,,,,3
A-1,2000-06,6,3,3,,,,,,3
A-1,4000-02,62,33,29,4,1,,1,2,21
A-1,4000-03,5,5,0,,,,,,
A-1,4000-08,279,64,215,14,,,4,,197
A-1,4000-09,230,34,196,14,,2,7,1,172
A-1,4000-12,20,2,18,3,,,8,,7
A-1,4000-13,29,4,25,,,,,,25
A-1,4000-14,125,14,111,2,,,3,4,102
A-1,4000-15,61,22,39,3,,,2,1,33
A-1,4000-16,6,,6,6,,,,,
A-1,5000-04,30,8,22,3,,1,,3,15
A-1,5000-05,10,5,5,,,1,,,4
A-1,7000-01,49,13,36,2,,,5,,29
A-1,BLD-01,3,,3,1,,,,,2
A-1,BLD-02,1,1,0,,,,,,
A-1,BLD-06,3,,3,2,,,1,,
