SD_SUB_SYSTEM,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,HP_Priority,HP_Description,HP_Location
TEL-11,EL,00-CAM-01,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-02,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-03,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-04,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-05,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-06,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-07,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-08,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-09,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-10,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-11,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-12,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-13,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-14,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-15,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-16,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-17,CCTV,,Hold (Matrial Shortage),
TEL-11,EL,00-CAM-18,CCTV,,Hold (Matrial Shortage),
LS-02,EL,00-ELP-01,Panel,,Hold (Matrial Shortage),
120-14,EL,00-HTP-01,Panel,,Hold (Matrial Shortage),
120-14,EL,00-HTP-02,Panel,,Hold (Matrial Shortage),
120-14,EL,00-HTP-03,Panel,,Hold (Matrial Shortage),
LS-01,EL,00-LP-01,Panel,,Hold (Matrial Shortage),
LS-01,EL,00-RP-01,Panel,,Hold (Matrial Shortage),
LS-01,EL,00-SLP-01,Panel,,Hold (Matrial Shortage),
1000-01,PI,1000-01-NG-10-1008,PI_TP,,ISO HOLD AFC ( WITH HOLD ),
1000-01,PI,1000-01-OW-03-722,PI_TP,,Drain LG,
1000-03,PI,1000-03-PRC-01-237,PI_TP,,12532AW-8  NIS306243K-3/4|ELBOW|6000|304L|1PCS,
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO HOLD AFC ( WITH HOLD ),
2000-03,PI,2000-03-PO-04-888,PI_TP,,کسری دو عدد ولو  60AF45K-1.1/2 NIS  ( NIS ),
4000-09,PI,2000-03-WWO-02-738,PI_TP,,E-3011 PANEL  AT-7099,
2000-04,PI,2000-04-VA-05-653,PI_TP,,AREA-48- LG-2374/1  - LG-2374/2  -LG-2374/3ISO:48134 10073QK-1/2  7.9M,
2000-04,PI,2000-04-VA-06-686,PI_TP,,AREA-48  LG-2017,
3000-01,PI,3000-01-LPC-06-860,PI_TP,,نازل تجهیز مشخص نیستC-3001,
