Discipline,Tag_No,Form_Title,Done,FRD_Phase
EL,02-AWLP3-1-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_1-1-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L2-05-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L3-05-FJB01,Cable pulling C,0,Construction
EL,02-EJB1_2-1-L3-07-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L1-04-FJB01,Cable pulling C,0,Construction
EL,02-EJB1-1-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_2-2-L1-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_2-2-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_2-2-L2-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_2-2-L3-01-FJB01,Cable pulling C,0,Construction
EL,02-EJB2_2-2-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB2-2-L3-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB2-2-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L1-02-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L1-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L1-05-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L1-06-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L1-07-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_1-3-L2-05-FJB01,Cable pulling C,0,Construction
EL,02-EJB3_2-3-L3-03-FJB01,Cable pulling C,0,Construction
EL,02-EJB3-3-L2-01-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L1-04-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L1-06-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L2-03-FJB01,Cable pulling C,0,Construction
EL,02-JB1_1-1-L3-04-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L1-10-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-05-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-09-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-13-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L2-15-FJB01,Cable pulling C,0,Construction
EL,02-JB1_2-1-L3-09-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-09-FJB01,Cable pulling C,0,Construction
EL,02-JB1-1-L1-13-FJB01,Cable pulling C,0,Construction
