SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No,CompanyName,ResponsibleName
LS-02,EL,00-ELP-02,PANEL(EL),A,نصب PANEL اتاق کنترل و آزمايشگاه و تکميل آنها,PL-56266,نیرو آرا اندیش,پانچ|هولد مدارک
LS-02,EL,00-ELP-02,PANEL(EL),A,تست ميگر کابهاي مربوط به پنل هاي آزمايشگاه و اتاق کنترل,PL-56268,نیرو آرا اندیش,پانچ|هولد مدارک
LS-02,EL,00-ELP-02,PANEL(EL),C,تکميل مدارک-ازبيلت مدارک,PL-56271,نیرو آرا اندیش,پانچ|هولد مدارک
LS-02,EL,00-ELP-02,PANEL(EL),C,جايگزيني مدارک اصل با کپي,PL-56272,نیرو آرا اندیش,پانچ|هولد مدارک
TEL-01,EL,01-PJB1,Paging Device,B,JB SHALL BE FIXED,PL-55752,نیرو آرا اندیش,پانچ|هولد کیسون
LS-04,EL,01-SJB1-1-CR,Lighting Cable,B,TAG NO (S.S) SHALL BE INSTALL IN MAIN PANEL.,PL-49029,نیرو آرا اندیش,پانچ|هولد کیسون
LS-04,EL,01-SJB1-1-CR,Lighting Cable,B,CABLE ARRANGEMENT AND FIXED MAIN PANEL SHALL BE DONE.,PL-49030,نیرو آرا اندیش,پانچ|هولد مدارک
TEL-01,EL,01-SP-01,Paging Device,B,JB SHALL BE FIXED,PL-55753,نیرو آرا اندیش,پانچ|هولد کیسون
TEL-01,EL,01-SP-02,Paging Device,B,JB SHALL BE FIXED,PL-55749,نیرو آرا اندیش,پانچ|هولد کیسون
TEL-01,EL,01-SP-03,Paging Device,B,JB SHALL BE FIXED,PL-55750,نیرو آرا اندیش,پانچ|هولد کیسون
TEL-01,EL,01-SP-06,Paging Device,B,JB SHALL BE FIXED,PL-55751,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-EJB1_1-1-L1-01,Lighting Fixture,C,FULL BOLT JB AND FIXTURE SHALL BE DONE,PL-55299,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-EJB1_2-1-L1-01,Lighting Fixture,B,فيکس کردن فيکچر ها,PL-57670,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-EJB1_2-1-L3-03,Lighting Fixture,C,ANGLE OF FIXTURE SHALL BE CORRECTLY,PL-55274,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-EJB2_2-2-L1-01,Lighting Fixture,C,اصلاح زاويه فيکچرها,PL-57999,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-JB1_2-1-L1-15(LS-07),Lighting Fixture,B,فيکس محل کانکشن فيکچر,PL-58463,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,02-JB1_2-1-L1-16,Lighting Fixture,C,ANGLE FIXTURE SHALL BE CURRECTLY,PL-58211,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L1-02-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62305,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L1-02-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62318,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L1-03-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62315,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L1-03-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62302,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L1-04-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62323,نیرو آرا اندیش,پانچ|هولد کیسون
