SD_Sub_System,Total_Items,Total_Done,Total_Pending,Remain,Progress_Percentage,Progress_Category,Total_Punch,Total_Clear_Punch,Total_Not_Clear_Punch,FormA,FormB,FormC,FormD,PUNCH-A,PUNCH-B,PUNCH-C
120-10,24,22,0,2,91.67%,Above 70%,192,128,64,1,1,0,0,9,50,5
4000-07,12,11,1,1,91.67%,Above 70%,31,4,27,1,1,0,0,5,5,17
4000-13,31,30,0,1,96.77%,Above 70%,59,21,38,1,0,0,0,1,25,12
5000-05,77,61,13,16,79.22%,Above 70%,145,95,50,1,0,0,0,7,8,35
BLD-06,14,11,2,3,78.57%,Above 70%,31,15,16,1,1,0,0,4,3,9
ES-03,33,32,0,1,96.97%,Above 70%,18,13,5,1,1,0,0,5,0,0
ES-11,484,484,0,0,100.00%,Above 70%,507,507,0,1,0,0,0,0,0,0
FGS-03,151,15,12,136,9.93%,Below 25%,26,0,26,0,0,0,0,6,14,6
FGS-05,130,6,15,124,4.62%,Below 25%,8,0,8,0,0,0,0,2,4,2
LS-06,73,71,0,2,97.26%,Above 70%,312,164,148,1,1,0,0,38,94,15
LS-14,64,7,57,57,10.94%,Below 25%,180,180,0,1,1,1,0,0,0,0
TEL-01,24,2,2,22,8.33%,Below 25%,4,0,4,0,0,0,0,0,2,2
2000-03,395,91,50,304,23.04%,Below 25%,378,207,171,0,0,0,0,30,43,98
2000-06,121,32,31,89,26.45%,25% to 50%,252,171,81,1,0,0,0,7,13,61
3000-02,204,109,41,95,53.43%,50% to 70%,300,145,155,1,0,0,0,15,21,119
3000-03,319,116,26,203,36.36%,25% to 50%,478,255,223,1,0,0,0,28,72,123
4000-02,315,180,61,135,57.14%,50% to 70%,693,380,313,1,0,0,0,32,49,232
5000-01,512,472,29,40,92.19%,Above 70%,1637,1117,520,1,1,0,0,98,56,366
BLD-07,8,6,2,2,75.00%,Above 70%,19,11,8,1,1,0,0,6,2,0
DCS-01,2574,1005,20,1569,39.04%,25% to 50%,4851,1993,2858,0,0,0,0,562,1456,840
ES-06,696,0,0,696,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
ES-09,503,0,0,503,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
FGS-04,173,17,24,156,9.83%,Below 25%,14,1,13,0,0,0,0,2,9,2
LS-03,516,47,467,469,9.11%,Below 25%,1889,1699,190,1,1,0,0,58,130,2
LS-09,326,0,113,326,0.00%,Below 25%,309,216,93,0,0,0,0,5,88,0
120-02,367,281,49,86,76.57%,Above 70%,3541,3238,303,1,1,0,0,31,210,62
120-09,31,28,1,3,90.32%,Above 70%,133,57,76,1,1,0,0,6,58,12
4000-06,562,142,96,420,25.27%,25% to 50%,509,258,251,1,0,0,0,8,41,202
4000-12,51,38,9,13,74.51%,Above 70%,41,21,20,0,0,0,0,1,4,15
ES-04,11,11,0,0,100.00%,Above 70%,11,11,0,1,1,1,0,0,0,0
LS-07,1075,0,1,1075,0.00%,Below 25%,1,0,1,0,0,0,0,0,1,0
LS-11,593,1,81,592,0.17%,Below 25%,365,305,60,0,0,0,0,49,11,0
TEL-04,37,0,12,37,0.00%,Below 25%,20,3,17,0,0,0,0,4,4,9
1000-02,189,73,19,116,38.62%,25% to 50%,324,176,148,1,0,0,0,41,57,50
120-05,284,204,8,80,71.83%,Above 70%,2200,2152,48,1,1,0,0,2,43,3
120-06,262,209,3,53,79.77%,Above 70%,2476,2391,85,1,1,0,0,6,73,6
120-14,3,0,0,3,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
120-17,15,0,12,15,0.00%,Below 25%,116,104,12,1,1,1,0,0,9,3
2000-01,105,27,13,78,25.71%,25% to 50%,110,39,71,1,0,0,0,14,16,41
4000-08,1066,1013,6,53,95.03%,Above 70%,1104,848,256,0,0,0,0,29,75,152
BLD-04,14,1,6,13,7.14%,Below 25%,18,9,9,1,1,0,0,0,0,9
CVL-01,14,5,1,9,35.71%,25% to 50%,778,57,721,1,0,0,0,2,644,75
LS-08,440,0,55,440,0.00%,Below 25%,192,135,57,0,0,0,0,0,56,1
TEL-02,61,0,0,61,0.00%,Below 25%,4,0,4,0,0,0,0,2,2,0
TEL-09,104,13,10,91,12.50%,Below 25%,17,6,11,0,0,0,0,1,10,0
1000-01,224,139,18,85,62.05%,50% to 70%,452,240,212,1,0,0,0,26,58,128
1000-03,432,217,80,215,50.23%,50% to 70%,719,358,361,1,0,0,0,35,79,247
2000-02,896,114,134,782,12.72%,Below 25%,772,585,187,1,0,0,0,40,51,96
2000-05,278,112,25,166,40.29%,25% to 50%,533,316,217,1,0,0,0,10,52,155
3000-01,876,274,4,602,31.28%,25% to 50%,877,664,213,1,0,0,0,46,26,141
4000-01,34,30,4,4,88.24%,Above 70%,62,30,32,1,1,0,0,1,9,22
7000-01,198,191,0,7,96.46%,Above 70%,397,206,191,1,0,0,0,36,56,99
BLD-03,14,0,0,14,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
ES-07,379,379,0,0,100.00%,Above 70%,783,780,3,1,1,0,0,1,0,2
FGS-01,95,5,7,90,5.26%,Below 25%,10,0,10,0,0,0,0,5,4,1
FGS-02,143,21,16,122,14.69%,Below 25%,13,2,11,0,0,0,0,3,7,1
FGS-06,30,0,5,30,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
FGS-08,97,66,0,31,68.04%,50% to 70%,253,174,79,1,0,0,0,35,4,40
120-04,306,201,20,105,65.69%,50% to 70%,2150,2064,86,1,1,0,0,38,44,4
120-07,158,16,78,142,10.13%,Below 25%,656,396,260,0,0,0,0,74,154,32
120-12,10,8,2,2,80.00%,Above 70%,37,5,32,1,1,0,0,10,14,8
120-15,5,0,5,5,0.00%,Below 25%,42,29,13,1,1,0,0,5,5,3
120-16,12,4,2,8,33.33%,25% to 50%,57,50,7,1,1,1,0,2,5,0
4000-04,621,117,115,504,18.84%,Below 25%,658,499,159,1,0,0,0,17,40,102
4000-05,45,44,1,1,97.78%,Above 70%,94,42,52,1,0,0,0,2,4,46
5000-02,524,506,15,18,96.56%,Above 70%,1141,768,373,1,1,0,0,98,43,232
5000-04,255,179,34,76,70.20%,Above 70%,677,524,153,1,0,0,0,22,26,105
BLD-05,14,0,0,14,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
ES-01,282,282,0,0,100.00%,Above 70%,2198,2195,3,1,1,1,0,2,1,0
ES-08,461,0,0,461,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
FGS-10,52,0,0,52,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
LS-04,287,286,1,1,99.65%,Above 70%,209,38,171,1,0,0,0,55,97,19
LS-12,419,413,1,6,98.57%,Above 70%,910,910,0,1,1,0,0,0,0,0
TEL-07,43,37,0,6,86.05%,Above 70%,129,76,53,1,1,0,0,3,29,21
TEL-08,30,15,13,15,50.00%,50% to 70%,42,25,17,1,1,0,0,1,16,0
TEL-12,8,4,3,4,50.00%,50% to 70%,7,5,2,1,1,0,0,1,1,0
1000-04,87,27,34,60,31.03%,25% to 50%,67,0,67,0,0,0,0,0,63,4
120-03,337,230,60,107,68.25%,50% to 70%,3135,2868,267,1,1,0,0,30,188,49
120-08,8,0,0,8,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
120-11,18,17,0,1,94.44%,Above 70%,127,48,79,1,1,0,0,32,41,6
2000-04,270,113,49,157,41.85%,25% to 50%,469,205,264,1,0,0,0,38,66,158
3000-04,183,24,76,159,13.11%,Below 25%,363,313,50,1,0,0,0,7,9,34
4000-03,62,46,10,16,74.19%,Above 70%,191,127,64,1,0,0,0,9,10,45
4000-10,27,13,3,14,48.15%,25% to 50%,11,1,10,0,0,0,0,0,1,9
4000-11,92,65,6,27,70.65%,Above 70%,90,31,59,1,1,0,0,4,3,52
5000-03,318,294,17,24,92.45%,Above 70%,1105,788,317,1,1,0,0,58,43,216
BLD-02,9,4,2,5,44.44%,25% to 50%,54,43,11,1,1,0,0,0,0,11
ES-02,189,189,0,0,100.00%,Above 70%,423,422,1,1,1,0,0,1,0,0
FGS-09,95,60,0,35,63.16%,50% to 70%,397,343,54,1,0,0,0,3,50,1
LS-01,100,66,8,34,66.00%,50% to 70%,370,119,251,1,1,0,0,55,137,41
LS-05,315,0,0,315,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
LS-10,706,0,67,706,0.00%,Below 25%,268,66,202,0,0,0,0,1,201,0
TEL-03,39,0,0,39,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
TEL-10,89,0,0,89,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
120-01,185,185,0,0,100.00%,Above 70%,2193,2032,161,1,1,0,0,11,114,36
120-13,373,341,32,32,91.42%,Above 70%,482,479,3,1,1,0,0,1,1,1
