discipline,ITEM_Sub_System,SD_Subsystem_Name,PL_Discipline,Category,Total_Issued,Total_Released,Remaining,Issued_Yesterday,Issued_Last_7_Days,Issued_Last_30_Days,Released_Yesterday,Released_Last_7_Days,Released_Last_30_Days,SD_Priority_Code
ELECTRICAL,120-01,6kV SWITCHBOARD SS-SWB2A/B-01,EL,A,423,310,113,0,0,7,0,0,120,A-1
ELECTRICAL,120-02,0-4KV SWITCHBOARD SS-SWB3A/B-01,EL,A,393,151,242,138,138,146,0,0,151,A-1
ELECTRICAL,120-03,0-4KV SWITCHBOARD SS-SWB3A/B-02,EL,A,283,63,220,97,99,132,0,2,63,A-1
ELECTRICAL,120-04,0-4KV SWITCHBOARD SS-SWB3A/B-03,EL,A,328,215,113,0,0,4,0,0,131,A-1
ELECTRICAL,120-05,0-4KV SWITCHBOARD SS-SWB3A/B-04,EL,A,312,215,97,0,0,0,0,0,155,A-1
ELECTRICAL,120-06,0-4KV SWITCHBOARD SS-SWB3A/B-05,EL,A,308,197,111,0,0,0,0,0,197,A-1
ELECTRICAL,120-10,SS-CH-01 for Electrical Supply 110V DC,EL,A,52,0,52,0,0,0,0,0,0,A-1
ELECTRICAL,120-13,Cathodic Protection System,EL,A,392,390,2,0,0,0,0,0,0,A-1
ELECTRICAL,120-18,E/I Cabinet,EL,A,32,0,32,0,0,8,0,0,0,A-1
ELECTRICAL,ES-01,Earthing & Roof Lightning System for Substation,EL,A,1042,1042,0,0,0,1042,0,0,1042,A-1
ELECTRICAL,LS-03,Lighting System for Substation,EL,A,1474,1474,0,0,0,2,0,0,1418,A-1
ELECTRICAL,LS-12,Lighting System for Area-07,EL,A,163,106,57,0,0,0,0,19,106,A-1
ELECTRICAL,LS-14,Lighting System for Analyzer House,EL,A,31,31,0,0,0,31,0,0,31,A-1
ELECTRICAL,TEL-09,Telecom System for Control Building,EL,A,1,0,1,0,1,1,0,0,0,A-1
ELECTRICAL,120-01,6kV SWITCHBOARD SS-SWB2A/B-01,EL,B,530,300,230,0,0,110,0,32,186,A-1
ELECTRICAL,120-02,0-4KV SWITCHBOARD SS-SWB3A/B-01,EL,B,790,378,412,65,65,138,0,7,156,A-1
ELECTRICAL,120-03,0-4KV SWITCHBOARD SS-SWB3A/B-02,EL,B,681,259,422,95,95,173,2,2,223,A-1
ELECTRICAL,120-04,0-4KV SWITCHBOARD SS-SWB3A/B-03,EL,B,596,355,241,0,0,6,0,42,187,A-1
ELECTRICAL,120-05,0-4KV SWITCHBOARD SS-SWB3A/B-04,EL,B,589,310,279,0,0,0,0,32,158,A-1
ELECTRICAL,120-06,0-4KV SWITCHBOARD SS-SWB3A/B-05,EL,B,590,198,392,0,0,0,0,0,38,A-1
ELECTRICAL,120-10,SS-CH-01 for Electrical Supply 110V DC,EL,B,64,0,64,0,0,12,0,0,0,A-1
ELECTRICAL,120-13,Cathodic Protection System,EL,B,74,72,2,0,0,0,0,0,0,A-1
ELECTRICAL,120-18,E/I Cabinet,EL,B,12,0,12,0,0,0,0,0,0,A-1
ELECTRICAL,ES-01,Earthing & Roof Lightning System for Substation,EL,B,616,616,0,0,0,616,0,0,616,A-1
ELECTRICAL,LS-03,Lighting System for Substation,EL,B,225,225,0,0,0,0,0,0,225,A-1
ELECTRICAL,LS-12,Lighting System for Area-07,EL,B,199,71,128,0,0,0,0,0,49,A-1
ELECTRICAL,LS-14,Lighting System for Analyzer House,EL,B,144,111,33,0,0,144,0,0,111,A-1
ELECTRICAL,TEL-08,Telecom System for Substation,EL,B,36,0,36,0,36,36,0,0,0,A-1
ELECTRICAL,TEL-09,Telecom System for Control Building,EL,B,9,0,9,0,9,9,0,0,0,A-1
ELECTRICAL,TEL-12,Telecom System for Analyzer House,EL,B,4,0,4,0,4,4,0,0,0,A-1
ELECTRICAL,120-01,6kV SWITCHBOARD SS-SWB2A/B-01,EL,C,291,223,68,0,0,44,0,76,170,A-1
ELECTRICAL,120-02,0-4KV SWITCHBOARD SS-SWB3A/B-01,EL,C,400,287,113,48,48,56,0,173,275,A-1
ELECTRICAL,120-03,0-4KV SWITCHBOARD SS-SWB3A/B-02,EL,C,432,320,112,53,61,82,0,196,320,A-1
ELECTRICAL,120-04,0-4KV SWITCHBOARD SS-SWB3A/B-03,EL,C,175,106,69,0,0,4,0,84,106,A-1
ELECTRICAL,120-05,0-4KV SWITCHBOARD SS-SWB3A/B-04,EL,C,192,134,58,0,0,0,0,104,134,A-1
ELECTRICAL,120-06,0-4KV SWITCHBOARD SS-SWB3A/B-05,EL,C,198,161,37,0,0,0,0,143,161,A-1
ELECTRICAL,120-10,SS-CH-01 for Electrical Supply 110V DC,EL,C,20,0,20,0,0,4,0,0,0,A-1
ELECTRICAL,120-13,Cathodic Protection System,EL,C,6,0,6,0,0,0,0,0,0,A-1
ELECTRICAL,120-18,E/I Cabinet,EL,C,2,0,2,0,0,2,0,0,0,A-1
ELECTRICAL,ES-01,Earthing & Roof Lightning System for Substation,EL,C,532,478,54,0,0,532,0,0,478,A-1
