SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,ITEM_Description,ITEM_Status
1000-01,INSTRUMENT,AP-1002,Instrument,Instrument(AP),
1000-01,INSTRUMENT,AP-1036,Instrument,Instrument(AP),
1000-01,INSTRUMENT,AP-1039,Instrument,Instrument(AP),
1000-01,INSTRUMENT,AP-1040,Instrument,Instrument(AP),
1000-01,INSTRUMENT,AP-1044,Instrument,Instrument(AP),
1000-01,INSTRUMENT,AP-1046,Instrument,Instrument(AP),
1000-01,INSTRUMENT,AST-1001A(AST),Instrument,Instrument(AST),
1000-01,INSTRUMENT,AST-1001A(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,AST-1001B(AST),Instrument,Instrument(AST),
1000-01,INSTRUMENT,AST-1001B(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,AST-1001C(AST),Instrument,Instrument(AST),
1000-01,INSTRUMENT,AST-1001C(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,AT-1035(AT),Instrument,Instrument(AT),
1000-01,INSTRUMENT,AT-1035(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,AT-1045(AT),Instrument,Instrument(AT),
1000-01,INSTRUMENT,AT-1045(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,AY-1001-1,SIGNAL,SIGNAL,
1000-01,INSTRUMENT,FE-1006,Instrument,Instrument(FE),
1000-01,INSTRUMENT,FE-2091,Instrument,Instrument(FE),
1000-01,INSTRUMENT,FE-2151,Instrument,Instrument(FE),
1000-01,INSTRUMENT,FE-6070,Instrument,Instrument(FE),
1000-01,INSTRUMENT,FST-6070A(FST),Instrument,Instrument(FST),
1000-01,INSTRUMENT,FST-6070A(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FST-6070B(FST),Instrument,Instrument(FST),
1000-01,INSTRUMENT,FST-6070B(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FST-6070C(FST),Instrument,Instrument(FST),
1000-01,INSTRUMENT,FST-6070C(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FT-1006(FT),Instrument,Instrument(FT),
1000-01,INSTRUMENT,FT-1006(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FT-2091(FT),Instrument,Instrument(FT),
1000-01,INSTRUMENT,FT-2091(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FT-2151(FT),Instrument,Instrument(FT),
1000-01,INSTRUMENT,FT-2151(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FUSY-2061-1(FUSY),Instrument,Instrument(FUSY),
1000-01,INSTRUMENT,FUSY-2061-1(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FUSY-2061-2(FUSY),Instrument,Instrument(FUSY),
1000-01,INSTRUMENT,FUSY-2061-2(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FUSY-2091(FUSY),Instrument,Instrument(FUSY),
1000-01,INSTRUMENT,FUSY-2091(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FUSY-2150(FUSY),Instrument,Instrument(FUSY),
1000-01,INSTRUMENT,FUSY-2150(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FV-2061(FV),Instrument,Instrument(FV),
1000-01,INSTRUMENT,FV-2061(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FV-2091(FV),Instrument,Instrument(FV),
1000-01,INSTRUMENT,FV-2091(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FV-2150(FV),Instrument,Instrument(FV),
1000-01,INSTRUMENT,FV-2150(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FZSL-2061(FZSL),Instrument,Instrument(FZSL),
1000-01,INSTRUMENT,FZSL-2061(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FZSL-2091(FZSL),Instrument,Instrument(FZSL),
1000-01,INSTRUMENT,FZSL-2091(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,FZSL-2150(FZSL),Instrument,Instrument(FZSL),
1000-01,INSTRUMENT,FZSL-2150(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,HV-1003,Instrument,Instrument(HV),
1000-01,INSTRUMENT,HZSH-1003,Instrument,Instrument(HZSH),
1000-01,INSTRUMENT,HZSL-1003,Instrument,Instrument(HZSL),
1000-01,INSTRUMENT,LG-1005,Instrument,Instrument(LG),
1000-01,INSTRUMENT,LST-1004A(LST),Instrument,Instrument(LST),
1000-01,INSTRUMENT,LST-1004A(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,LST-1004B(LST),Instrument,Instrument(LST),
1000-01,INSTRUMENT,LST-1004B(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,LST-1004C(LST),Instrument,Instrument(LST),
1000-01,INSTRUMENT,LST-1004C(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,PDT-1032(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,PDT-1032(PDT),Instrument,Instrument(PDT),
1000-01,INSTRUMENT,PG-1002,Instrument,Instrument(PG),
1000-01,INSTRUMENT,PG-1007,Instrument,Instrument(PG),
1000-01,INSTRUMENT,PG-1033,Instrument,Instrument(PG),
1000-01,INSTRUMENT,PG-1036,Instrument,Instrument(PG),
1000-01,INSTRUMENT,PG-1040,Instrument,Instrument(PG),
1000-01,INSTRUMENT,PG-1046,Instrument,Instrument(PG),
1000-01,INSTRUMENT,PT-1001(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,PT-1001(PT),Instrument,Instrument(PT),
1000-01,INSTRUMENT,PT-1005(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,PT-1005(PT),Instrument,Instrument(PT),
1000-01,INSTRUMENT,PT-1006(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,PT-1006(PT),Instrument,Instrument(PT),
1000-01,INSTRUMENT,PT-1045(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,PT-1045(PT),Instrument,Instrument(PT),
1000-01,INSTRUMENT,PV-1006(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,PV-1006(PV),Instrument,Instrument(PV),
1000-01,INSTRUMENT,PV-1045(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,PV-1045(PV),Instrument,Instrument(PV),
1000-01,INSTRUMENT,TE-1001(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,TE-1001(TE),Instrument,Instrument(TE),
1000-01,INSTRUMENT,TE-1034(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,TE-1034(TE),Instrument,Instrument(TE),
1000-01,INSTRUMENT,TE-1035(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,TE-1035(TE),Instrument,Instrument(TE),
1000-01,INSTRUMENT,TE-1037(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,TE-1037(TE),Instrument,Instrument(TE),
1000-01,INSTRUMENT,TE-1041(NA),CABLE,CABLE(NA),
1000-01,INSTRUMENT,TE-1041(TE),Instrument,Instrument(TE),
1000-01,INSTRUMENT,TE-1042(NA),CABLE,CABLE(NA),
