Import_Log,PL_Discipline,Category,Total_Issued,Total_Released,Remaining,Issued_Yesterday,Issued_Last_7_Days,Issued_Last_30_Days,Released_Yesterday,Released_Last_7_Days,Released_Last_30_Days
ELECTRICAL,EL,A,5234,4194,1040,235,238,1373,0,21,3414
ELECTRICAL,EL,B,5159,2895,2264,160,209,1248,2,115,1949
ELECTRICAL,EL,C,2306,1709,597,101,167,782,0,776,1644
INSTRUMENT,IN,A,863,396,467,9,23,851,0,396,396
INSTRUMENT,IN,B,235,26,209,0,4,235,0,26,26
INSTRUMENT,IN,C,358,193,165,9,29,358,0,193,193
MECHANICAL(STATIC),MES,A,34,18,16,0,0,0,0,0,0
MECHANICAL(STATIC),MES,C,196,46,150,0,0,10,0,0,10
PIPING,PI,A,20,20,0,0,0,0,0,0,0
PIPING,PI,B,521,502,19,0,0,0,0,0,3
PIPING,PI,C,1259,64,1195,0,1,37,4,12,43
